dataset,term,count,relative_freq
4 June 2026,সংসদ,551,0.007716114215294991
4 June 2026,স্পিকার,488,0.00683387248105981
4 June 2026,বিদ্যুৎ,467,0.006539791902981417
4 June 2026,মনে,438,0.006133680628492207
4 June 2026,নাই,428,0.005993642257978687
4 June 2026,টাকা,354,0.004957358316178633
4 June 2026,বলে,353,0.004943354479127281
4 June 2026,হয়ে,338,0.004733296923357
4 June 2026,সংসদে,328,0.004593258552843479
4 June 2026,তাহলে,323,0.004523239367586719
4 June 2026,মন্ত্রী,314,0.00439720483412455
4 June 2026,সময়,295,0.00413113193014886
4 June 2026,ভালো,290,0.004061112744892101
4 June 2026,সালাউদ্দিন,281,0.0039350782114299316
4 June 2026,কোন,276,0.0038650590261731714
4 June 2026,মাননীয়,260,0.0036409976333515383
4 June 2026,করতে,254,0.003556974611043426
4 June 2026,দেশের,251,0.0035149630998893696
4 June 2026,বন্ধ,243,0.003402932403478553
4 June 2026,বেশি,240,0.0033609208923244967
4 June 2026,লোডশেডিং,232,0.00324889019591368
4 June 2026,নাকি,231,0.0032348863588623285
4 June 2026,নিয়ে,225,0.0031508633365542158
4 June 2026,করেন,222,0.00310885182540016
4 June 2026,বিল,211,0.002954809617835287
4 June 2026,শুরু,209,0.0029268019437325827
4 June 2026,আপনারা,209,0.0029268019437325827
4 June 2026,দাম,203,0.0028427789214244704
4 June 2026,ধন্যবাদ,202,0.0028287750843731183
4 June 2026,মানুষ,198,0.0027727597361677098
4 June 2026,বিএনপি,192,0.0026887367138595975
4 June 2026,যা,191,0.0026747328768082453
4 June 2026,হোক,187,0.0026187175286028373
4 June 2026,দুর্নীতি,185,0.002590709854500133
4 June 2026,দেশ,177,0.0024786791580893165
4 June 2026,জোকার,177,0.0024786791580893165
4 June 2026,স্বরাষ্ট্রমন্ত্রী,174,0.00243666764693526
4 June 2026,সরকার,171,0.002394656135781204
4 June 2026,ভাই,170,0.002380652298729852
4 June 2026,দেন,168,0.002352644624627148
